rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
501589,0,0.01,1.1,4.57,-0.61,-0.3,112.23,43.81,-93.02
501600,0,0.04,1.09,3.6,-0.61,-1.65,112.23,43.36,-93.47
501610,0,0.02,1.08,2.93,-0.61,-0.85,113.28,43.81,-94.37
501620,0,0,1.1,2.99,-0.43,-1.65,112.98,42.61,-94.97
501630,0,0.06,1.08,-0.91,-0.3,-3.48,113.58,43.81,-93.77
501640,0,0.03,1.11,2.01,0.37,-2.8,112.98,43.66,-93.92
501650,0,0.02,1.09,0.67,-1.16,-2.56,112.98,43.96,-93.32
501659,0.01,0.07,1.05,-0.85,-3.48,-3.11,111.48,43.06,-93.02
501670,0.01,0.04,1.07,0.79,-1.28,-0.79,112.38,43.21,-92.87
501680,0,0.05,1.07,-0.67,-0.37,-0.91,112.83,43.06,-93.77
501690,0.01,0.06,1.1,2.44,-0.55,1.04,112.53,42.76,-93.77
501700,-0.01,0,1.06,0.55,-1.22,1.46,113.28,43.06,-94.82
501710,0.01,0.07,1.05,4.39,0.67,-1.89,111.03,44.71,-95.27
501720,0,0.06,1.12,8.29,2.93,1.16,113.43,42.91,-92.27
501730,-0.01,0.01,1.1,3.96,1.16,3.54,111.63,44.71,-94.67
501740,-0.01,0.01,1.08,3.6,-0.12,2.07,111.78,44.11,-93.47
501750,0,0,1.12,3.05,0.91,1.28,111.33,43.96,-93.32
501760,0,-0.01,1.1,-0.85,-0.61,0.06,112.98,44.26,-94.22
501770,-0.02,-0.03,1.08,-2.07,-1.1,-1.52,112.83,44.86,-94.37
501780,-0.01,0.03,1.06,-3.05,-0.98,-4.39,112.38,42.16,-93.32
501790,-0.06,0.05,1.11,8.35,0.3,-3.66,112.68,42.61,-93.62
501800,-0.01,0.06,1.06,-1.65,-1.34,-3.41,112.53,43.81,-94.37
501810,0,0.08,1.09,6.34,0.43,-1.89,112.68,43.66,-94.22
501820,-0.01,0.06,1.1,7.93,0.55,-0.3,111.78,42.76,-92.12
501830,-0.01,0.01,1.09,6.28,-0.12,1.22,112.23,43.81,-92.72
