rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
1055991,0.06,0.06,1.1,-0.61,0.98,-1.04,115.23,38.86,-93.02
1056001,0.06,0.05,1.11,-0.85,1.16,0.3,114.03,39.01,-93.92
1056011,0.04,0.04,1.08,-1.77,0.18,1.22,115.23,39.16,-93.47
1056021,0.04,0.02,1.09,-1.77,-0.06,1.1,115.53,40.81,-92.87
1056031,0.04,0.03,1.09,-0.73,-0.3,0.24,113.73,39.46,-93.92
1056041,0.04,0.03,1.09,-0.3,-0.91,-0.24,114.48,39.76,-93.32
1056051,0.05,0.03,1.1,0.79,-0.79,-0.3,113.88,39.91,-94.07
1056061,0.05,0.03,1.1,1.16,-0.91,-0.06,114.63,40.21,-92.72
1056071,0.06,0.04,1.08,0.79,-1.04,-0.37,114.48,40.06,-93.92
1056081,0.07,0.04,1.1,0.49,-0.3,-0.06,115.08,40.06,-91.97
1056091,0.06,0.04,1.08,0.67,0.79,0.43,113.73,39.01,-92.87
1056101,0.04,0.05,1.09,0.3,1.04,0.43,116.13,41.11,-93.32
1056111,0.03,0.03,1.11,-0.06,0.73,0.85,113.73,40.51,-92.87
1056121,0.03,0.03,1.11,0.12,-0.12,0.12,116.88,39.46,-93.32
1056131,0.04,0.04,1.09,-0.37,-0.79,-0.43,114.18,38.86,-93.02
1056141,0.05,0.06,1.07,-0.98,-0.18,-0.79,116.13,38.71,-93.92
1056151,0.06,0.06,1.1,-0.98,0.12,0.24,115.53,40.06,-91.52
1056161,0.06,0.05,1.09,-1.59,-0.49,1.52,114.18,38.86,-92.12
1056171,0.04,0.04,1.09,-1.34,-1.04,2.13,114.18,40.66,-91.67
1056181,0.04,0.03,1.09,-0.37,-0.98,1.34,114.18,38.86,-93.02
1056191,0.04,0.03,1.09,0.06,0,0.49,113.88,42.31,-92.12
1056201,0.05,0.03,1.1,0,0.43,0.43,115.08,39.76,-92.27
1056211,0.05,0.06,1.08,0.43,0.79,-0.18,115.53,40.81,-90.92
1056221,0.06,0.05,1.1,0.49,1.4,0.49,113.88,39.91,-92.42
1056231,0.04,0.03,1.1,0.18,0.67,1.1,114.18,39.61,-92.12
1056241,0.04,0.03,1.09,0.12,0.73,1.28,114.48,40.51,-93.32
