rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
796626,-0.03,0.02,1.11,2.2,1.1,2.87,116.28,43.36,-95.72
796637,-0.03,0,1.11,1.52,-0.18,2.68,115.53,43.96,-94.97
796646,-0.04,-0.03,1.11,2.01,0.73,2.68,115.08,43.66,-94.22
796657,-0.03,0.01,1.08,0,0.12,0.79,113.73,44.26,-94.97
796667,-0.01,0.03,1.09,-4.21,1.04,0.79,115.83,45.31,-94.22
796677,-0.04,0.01,1.1,-1.95,0.49,1.95,114.93,44.11,-95.12
796687,-0.03,0.01,1.08,-0.73,0.79,2.44,113.28,45.16,-95.42
796697,-0.03,-0.02,1.11,-0.12,1.04,3.17,115.23,43.81,-94.37
796707,-0.04,-0.02,1.11,-1.16,1.46,2.38,115.08,42.91,-95.27
796717,-0.04,-0.05,1.09,-3.9,1.46,2.26,115.08,43.66,-94.67
796727,-0.02,-0.04,1.11,-0.79,1.04,1.22,115.53,44.26,-95.57
796737,-0.03,-0.02,1.12,-0.37,0.67,0.67,115.83,44.26,-95.57
796747,-0.03,-0.02,1.07,0.73,-1.28,1.04,115.08,45.31,-96.62
796757,-0.02,-0.02,1.1,6.04,-0.43,0.43,114.18,45.16,-95.42
796767,-0.02,-0.02,1.11,1.89,-0.12,-0.3,112.83,43.81,-94.82
796777,-0.02,-0.03,1.08,-0.06,-1.16,-0.37,114.63,44.86,-94.07
796787,-0.01,0.01,1.09,-0.37,-0.3,-0.91,114.03,44.26,-94.67
796797,-0.02,0.01,1.09,1.04,-0.12,-0.24,114.93,44.11,-94.82
796807,-0.03,-0.04,1.1,0.37,-0.12,0.49,113.88,45.16,-94.07
796817,-0.03,-0.03,1.09,-1.16,0.85,-0.91,114.93,44.11,-94.07
796827,-0.02,-0.01,1.15,-3.66,2.32,-1.77,114.18,44.86,-95.72
796837,-0.03,0,1.14,-2.87,-0.37,-1.28,115.98,43.81,-94.07
796847,-0.02,0.03,1.12,2.38,-2.56,-1.22,114.03,44.71,-93.92
796857,-0.02,0.04,1.11,4.21,-2.93,0,114.93,44.41,-94.82
796867,-0.03,-0.02,1.08,3.84,-2.62,1.83,113.58,45.16,-96.17
796876,-0.01,0,1.09,2.38,-1.04,0.61,115.98,44.41,-94.82
