Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1614725348.6040025,990,1614725348,595438003,base_imu_link,-0.10352070162541413,0.043694311964818176,0.6763017229404025,0.7280042932460951,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.0,-0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.04290125,-0.158198359375,0.59372265625,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614725348.622136,991,1614725348,614371061,base_imu_link,-0.10360581497596308,0.04369512774970931,0.67674325235698,0.7275817076476017,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.0,-0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.0383046875,-0.15398484374999996,0.6113428125,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614725348.6437082,992,1614725348,635612010,base_imu_link,-0.10370103354779309,0.04376348717724682,0.6762994370610735,0.7279765959576457,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.0,-0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.033708125,-0.14479171875,0.59372265625,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614725348.6633766,993,1614725348,654371023,base_imu_link,-0.10381400167915968,0.04390073932972023,0.67622979122056,0.7280169281050141,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.0,-0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.033708125,-0.14938828124999998,0.5761025,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614725348.6828113,994,1614725348,674494981,base_imu_link,-0.10388390070743095,0.043937644941281176,0.6764172945965089,0.7278305174294097,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.0,-0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.0383046875,-0.14479171875,0.59372265625,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614725348.7031424,995,1614725348,695005893,base_imu_link,-0.10397896082559266,0.044006227059946196,0.6759733376286527,0.7282251537132989,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.0,-0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.033708125,-0.131385078125,0.5761025,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614725348.7239463,996,1614725348,714452981,base_imu_link,-0.10406807021808623,0.04399770539227511,0.6764784965607555,0.7277436927739037,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.0,-0.0,-0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.029111562499999997,-0.14019515624999998,0.5761025,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614725348.7442424,997,1614725348,734886884,base_imu_link,-0.10418998842089003,0.04400275133199564,0.6764792605882393,0.7277252326132841,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.0,-0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.024515,-0.14479171875,0.5580992968749999,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614725348.763629,998,1614725348,754945993,base_imu_link,-0.10423685836705672,0.04409412164596817,0.6762856437711031,0.7278929274440997,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.0,-0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.033708125,-0.14479171875,0.5580992968749999,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614725348.7851758,999,1614725348,775621891,base_imu_link,-0.10436261839142731,0.04409009211352463,0.6763499304127933,0.7278154156724876,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.0,-0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.04290125,-0.14479171875,0.5761025,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
