Time,data
1614725348.605651,85.23
1614725348.6241915,85.30000000000001
1614725348.6453583,85.23
1614725348.6633437,85.21999999999998
1614725348.6841528,85.25000000000001
1614725348.7050633,85.18000000000002
1614725348.7239401,85.26
1614725348.7442253,85.25999999999999
1614725348.7648323,85.23000000000002
1614725348.785193,85.24
1614725348.8042555,85.33
1614725348.8255424,85.42000000000002
1614725348.8769054,85.44000000000001
1614725348.8769138,85.45000000000002
1614725348.8865154,85.39
1614725348.9046147,85.38000000000001
1614725348.9241443,85.43
1614725348.9437013,85.48
1614725348.964553,85.48999999999998
1614725348.9842448,85.48
1614725349.0053263,85.52
1614725349.024726,85.53000000000003
1614725349.0449424,85.52
1614725349.0650573,85.52000000000001
1614725349.0862105,85.47
1614725349.1066117,85.44000000000001
1614725349.124923,85.5
1614725349.145799,85.55
1614725349.165703,85.60000000000001
1614725349.1853893,85.58
1614725349.2049043,85.62000000000002
1614725349.226083,85.64
1614725349.245658,85.65
1614725349.2972736,85.61000000000003
1614725349.2972953,85.65
1614725349.306608,85.71
1614725349.326,85.75000000000001
1614725349.345191,85.77
1614725349.3842127,85.85000000000001
1614725349.387224,85.90000000000003
1614725349.4053268,85.93
1614725349.4266813,85.99
1614725349.4457166,85.96
1614725349.4660835,86.01
1614725349.4886796,85.96
1614725349.5410287,86.01
1614725349.5410445,86.02000000000002
1614725349.5469,86.05999999999999
1614725349.5671844,86.05000000000001
1614725349.5867968,86.1
1614725349.6068754,86.17000000000002
1614725349.627173,86.15000000000003
1614725349.6476033,86.17
1614725349.6667063,86.17000000000002
1614725349.6869771,86.18000000000002
1614725349.707047,86.20999999999998
1614725349.7266045,86.24000000000001
1614725349.7478247,86.24999999999999
1614725349.7750068,86.27
1614725349.786503,86.27
1614725349.8076868,86.24000000000001
1614725349.8277931,86.24000000000001
1614725349.8481233,86.24999999999999
1614725349.867851,86.22
1614725349.888445,86.26000000000002
1614725349.9049373,86.27999999999999
1614725349.9256017,86.3
1614725349.9450686,86.26999999999998
1614725349.965334,86.26999999999998
1614725349.9858713,86.27999999999999
1614725350.00843,86.24
1614725350.0279095,86.17000000000002
1614725350.048491,86.11000000000001
1614725350.0677452,86.12999999999998
1614725350.088399,86.05000000000001
1614725350.1137373,85.95999999999998
1614725350.1285787,85.90000000000002
1614725350.148057,85.76
1614725350.1681497,85.69
1614725350.1887796,85.62999999999998
1614725350.2087016,85.57999999999998
1614725350.2287743,85.64
1614725350.2481377,85.68000000000002
1614725350.2698727,85.63
1614725350.2892745,85.65999999999998
1614725350.3084326,85.64
1614725350.3294268,85.62
1614725350.3498466,85.54999999999998
1614725350.3679962,85.58
1614725350.388855,85.53
1614725350.409042,85.54999999999998
1614725350.4301307,85.53
1614725350.457697,85.57
1614725350.4690108,85.61000000000001
1614725350.4889774,85.66999999999999
1614725350.5127387,85.72000000000001
1614725350.5291603,85.74999999999999
1614725350.5496805,85.86
1614725350.5720174,85.96000000000001
1614725350.6251185,86.11000000000001
1614725350.625141,86.19
1614725350.6298752,86.22000000000004
1614725350.649782,86.33
1614725350.6699834,86.41000000000001
1614725350.689999,86.45
1614725350.7093337,86.53000000000002
1614725350.7328181,86.50000000000001
1614725350.7879248,86.55000000000001
1614725350.787936,86.62000000000002
1614725350.7923198,86.66000000000001
1614725350.8116271,86.60999999999999
1614725350.8305702,86.67000000000002
1614725350.8508184,86.72999999999999
1614725350.8705435,86.81000000000002
1614725350.8903122,86.91
1614725350.9104025,86.85
1614725350.9297004,86.88000000000002
1614725350.9511359,86.93
1614725351.0066888,86.90000000000002
1614725351.006717,86.88000000000001
1614725351.0130608,86.85
1614725351.031506,86.86999999999999
1614725351.050721,86.89
1614725351.0720763,86.88000000000001
1614725351.0912495,86.84999999999998
1614725351.1113205,86.86000000000001
1614725351.1317558,86.89000000000001
1614725351.1486962,86.85000000000002
1614725351.171604,86.84
1614725351.225236,86.93
1614725351.2252455,86.96
1614725351.2321818,86.91999999999999
1614725351.2797687,86.90000000000003
1614725351.2798023,86.82000000000001
1614725351.2911913,86.77999999999999
1614725351.3124938,86.77999999999999
1614725351.3349147,86.7
1614725351.3529713,86.62000000000002
1614725351.373006,86.62
1614725351.3917031,86.51
1614725351.4121912,86.44
1614725351.4319215,86.42000000000002
1614725351.452132,86.40000000000002
1614725351.4724295,86.31000000000002
1614725351.492431,86.17
1614725351.5128717,86.07000000000001
1614725351.5330062,85.96
1614725351.552235,85.94
1614725351.5728636,85.82
1614725351.593157,85.78000000000002
1614725351.6125681,85.66000000000001
1614725351.633375,85.59000000000002
1614725351.6510777,85.54000000000002
1614725351.6737638,85.51000000000002
1614725351.693377,85.40000000000002
1614725351.7170305,85.32000000000002
1614725351.7331257,85.22
1614725351.7534115,85.11
1614725351.7737632,85.02000000000001
1614725351.7939525,84.91000000000003
1614725351.8142898,84.88
1614725351.8338158,84.81
1614725351.8540637,84.76000000000002
1614725351.8737276,84.74000000000001
1614725351.894462,84.66
1614725351.913637,84.59000000000002
1614725351.9447765,84.46000000000002
1614725351.953533,84.36000000000003
1614725351.97459,84.28999999999999
1614725351.9938493,84.28000000000002
1614725352.0144384,84.21
1614725352.0345438,84.14000000000001
1614725352.053969,84.0
1614725352.0741448,83.84000000000003
1614725352.0942805,83.64
1614725352.1138892,83.53000000000002
1614725352.1350322,83.4
1614725352.154882,83.23
1614725352.1745985,83.09
1614725352.19471,82.99000000000001
1614725352.216082,82.92
1614725352.234688,82.81999999999996
1614725352.2553332,82.71999999999997
1614725352.276369,82.64000000000001
1614725352.2944598,82.54
1614725352.3144388,82.40000000000002
1614725352.3359966,82.25000000000001
1614725352.3548899,82.15
1614725352.3755572,82.06000000000004
1614725352.3961527,81.91
1614725352.4155579,81.76000000000002
1614725352.4358459,81.66
1614725352.4559782,81.63999999999999
1614725352.4744933,81.53
1614725352.4962528,81.43000000000002
