Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1614727205.2620306,2641,1614727205,261632204,base_imu_link,-0.07667415447194958,0.00020147644302451195,0.7080875101902933,0.70194950769679,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.03,-0.02,0.14,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.9625967968749999,-1.1541202343749999,9.772291874999999,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614727205.282055,2642,1614727205,281651496,base_imu_link,-0.07661232660898325,-0.0001403995786017076,0.7083938055964843,0.701647167664808,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.03,-0.02,0.14,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-1.07253125,-0.9434444531249999,9.772291874999999,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614727205.3021898,2643,1614727205,301747083,base_imu_link,-0.076246775997966,0.0006177072397062985,0.7093724005059819,0.7006973990161965,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.03,-0.02,0.18,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-1.0966632031249999,-0.9288886718749999,9.71483484375,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614727205.3224504,2644,1614727205,321986198,base_imu_link,-0.07600634553441343,0.001519574381660789,0.7101650803000513,0.699918770325974,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.02,-0.03,0.19,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.9767695312499999,-1.1445440624999998,9.71023828125,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614727205.3406093,2645,1614727205,340202331,base_imu_link,-0.07624915460760363,0.0007114922150315631,0.7107770158725901,0.6992721887131716,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.01,-0.03,0.15,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.8955635937499998,-1.307338984375,9.681509765625,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614727205.3606932,2646,1614727205,360261440,base_imu_link,-0.07685202534832178,-0.0012797198645988841,0.7108990342572781,0.6990813197396984,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,-0.05,0.1,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.9193125,-1.2161738281249999,9.686489374999999,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614727205.3808,2647,1614727205,380366563,base_imu_link,-0.07709003654576041,-0.0026385716373321932,0.7108959272072601,0.6990544648918409,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,-0.06,0.07,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.9434444531249999,-1.2020010937499999,9.67653015625,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614727205.4008176,2648,1614727205,400408029,base_imu_link,-0.07726933489194679,-0.00366832897053887,0.7107087131309974,0.6992203646402197,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.02,-0.06,0.05,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-1.000901484375,-1.1012597656249998,9.6956825,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614727205.4209733,2649,1614727205,420557498,base_imu_link,-0.07720697449568967,-0.00418967166582615,0.710400798161043,0.6995371582072732,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.02,-0.07,0.04,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.9863457031249999,-1.1108359374999999,9.75313953125,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614727205.4409838,2650,1614727205,440503120,base_imu_link,-0.0769603871106592,-0.004778701166646644,0.710153079941929,0.6998120218172375,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.02,-0.09,0.02,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.9767695312499999,-1.09168359375,9.772291874999999,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
